RPM,Speed,Engine_Temp,SOC,SOH,Battery_Temp,Voltage,Current
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
0,0,0,41.0,99.0,31.0,11.0,0.0
